,Year_prd,Year_model,Brand,Model,City,Area,Mileage,CC,Fuel_CNG,Fuel_Diesel,Fuel_Gasoline,Fuel_Hybrid,Fuel_LPG,Price
Year_prd,1.0,0.8950956290441014,0.15786886878821157,0.04380307179692022,0.008691879301757797,0.004454131437891285,-0.6061741258915215,-0.28777044417330555,0.0009367642789864606,0.09649933622672668,-0.06457444613125887,0.09953415256761701,-0.12008992018911364,0.7411897595193341
Year_model,0.8950956290441014,1.0,0.137102463806379,0.030631131511247623,0.009817942648496085,0.003001115144950109,-0.5508890030806015,-0.26328293202988906,-0.0006147784697593572,0.08274945042415657,-0.05422007576520064,0.10191021338493234,-0.11324157404303342,0.6917914783110377
Brand,0.15786886878821157,0.137102463806379,1.0,0.1807422322388878,-0.004035618455362387,0.0002469428801188249,-0.16231672369674743,-0.2732149777472219,0.004863546734127857,-0.07465067629708463,0.06025084153695568,0.08814917214009381,-0.008675256338874032,0.004499522118439086
Model,0.04380307179692022,0.030631131511247623,0.1807422322388878,1.0,0.0007063320134838293,-0.003019033830142358,0.004810265357220109,0.09660794925668613,0.013078912510800613,0.08042795841008238,-0.07494103812076433,-0.008527975303174347,-0.00879134812832956,0.125972012342622
City,0.008691879301757797,0.009817942648496085,-0.004035618455362387,0.0007063320134838293,1.0,-0.05744437217747234,-0.008575351248984115,0.013382551514769905,0.0037936234291283165,0.0024555931586338286,-0.002373129661186693,0.01646843680406163,-0.008174259540833893,0.024269874753654393
Area,0.004454131437891285,0.003001115144950109,0.0002469428801188249,-0.003019033830142358,-0.05744437217747234,1.0,-0.010736007610152035,-0.01367975318102531,0.003987739968724467,0.016361044392014076,-0.0030286177696959727,-0.01721112234752444,-0.02380539039622834,-0.010357874401490044
Mileage,-0.6061741258915215,-0.5508890030806015,-0.16231672369674743,0.004810265357220109,-0.008575351248984115,-0.010736007610152035,1.0,0.3723724337042757,0.006229045787228064,0.33040894748671884,-0.3571019200246908,-0.08522155753168831,0.10921341236137685,-0.48907850605133685
CC,-0.28777044417330555,-0.26328293202988906,-0.2732149777472219,0.09660794925668613,0.013382551514769905,-0.01367975318102531,0.3723724337042757,1.0,-0.011179966075895187,0.24204367053938072,-0.25477777923792916,0.006133077198634776,0.03369227519692385,0.1586894598933521
Fuel_CNG,0.0009367642789864606,-0.0006147784697593572,0.004863546734127857,0.013078912510800613,0.0037936234291283165,0.003987739968724467,0.006229045787228064,-0.011179966075895187,1.0,-0.019421071060323192,-0.02270764815921238,-0.002185788357358279,-0.004900460636279487,-0.008301497954963185
Fuel_Diesel,0.09649933622672668,0.08274945042415657,-0.07465067629708463,0.08042795841008238,0.0024555931586338286,0.016361044392014076,0.33040894748671884,0.24204367053938072,-0.019421071060323192,1.0,-0.8925663609008821,-0.08591647827850243,-0.1926217231390185,0.11644773400632825
Fuel_Gasoline,-0.06457444613125887,-0.05422007576520064,0.06025084153695568,-0.07494103812076433,-0.002373129661186693,-0.0030286177696959727,-0.3571019200246908,-0.25477777923792916,-0.02270764815921238,-0.8925663609008821,1.0,-0.10045589935627249,-0.22521859393213584,-0.0922188486071343
Fuel_Hybrid,0.09953415256761701,0.10191021338493234,0.08814917214009381,-0.008527975303174347,0.01646843680406163,-0.01721112234752444,-0.08522155753168831,0.006133077198634776,-0.002185788357358279,-0.08591647827850243,-0.10045589935627249,1.0,-0.021679047386408887,0.12689751099422267
Fuel_LPG,-0.12008992018911364,-0.11324157404303342,-0.008675256338874032,-0.00879134812832956,-0.008174259540833893,-0.02380539039622834,0.10921341236137685,0.03369227519692385,-0.004900460636279487,-0.1926217231390185,-0.22521859393213584,-0.021679047386408887,1.0,-0.11307276126901068
Price,0.7411897595193341,0.6917914783110377,0.004499522118439086,0.125972012342622,0.024269874753654393,-0.010357874401490044,-0.48907850605133685,0.1586894598933521,-0.008301497954963185,0.11644773400632825,-0.0922188486071343,0.12689751099422267,-0.11307276126901068,1.0
